level,pos,id,type,char,name,freq,grade,strokes,parts,source
17,20,k:館,kanji,館,building,354,3,16,食 官,auto
17,21,k:六,kanji,六,six,567,1,4,亠 ハ,auto
17,22,k:未,kanji,未,not yet,572,4,5,木 六,override
17,23,k:味,kanji,味,flavor,419,3,8,口 未,auto
17,24,k:収,kanji,収,income,363,6,4,｜ 又,auto
17,25,k:園,kanji,園,park,372,2,13,回 土 衣,auto
17,26,k:過,kanji,過,overdo,321,5,12,辶 冂 口,auto
17,27,k:常,kanji,常,usual,330,5,11,⺌ 冖 巾,auto
17,28,k:映,kanji,映,reflect,356,6,9,冖 日 大,auto
17,29,r:疔,radical,疒,sickbed,,,5,,radical
18,0,k:病,kanji,病,sickness,411,3,10,疒 内,override
18,1,k:犬,kanji,犬,dog,1089,1,4,,auto
18,2,k:状,kanji,状,status quo,367,5,7,犬 爿,auto
18,3,k:亡,kanji,亡,deceased,380,6,3,,auto
18,4,k:登,kanji,登,ascend,368,3,12,癶 豆,auto
18,5,k:各,kanji,各,each,397,4,6,口 夂,auto
18,6,k:武,kanji,武,warrior,361,5,8,止 弋,auto
18,7,k:居,kanji,居,reside,362,5,8,十 局,auto
18,8,k:庁,kanji,庁,government office (2),366,6,5,广 了,auto
18,9,k:冊,kanji,冊,tome,1524,6,5,,auto
18,10,k:編,kanji,編,compilation,308,5,15,戸 糸 冊,auto
18,11,k:室,kanji,室,room,449,2,9,宀 去 至,auto
18,12,k:競,kanji,競,compete,292,4,20,立 兄,override
18,13,k:斉,kanji,斉,adjusted,1293,8,8,,auto
18,14,k:済,kanji,済,finish,327,6,11,氵 斉,auto
18,15,k:術,kanji,術,art,347,5,11,行 木 十,auto
18,16,r:酉,radical,酉,wine jar,,,7,,radical
18,17,k:配,kanji,配,distribute,396,3,10,酉 已,override
18,18,k:込,kanji,込,crowded,329,8,5,,auto
18,19,k:丘,kanji,丘,hill,1215,8,5,一 斤,override
18,20,k:兵,kanji,兵,soldier,406,4,7,丘 ハ,auto
18,21,k:料,kanji,料,fee,415,4,10,米 斗,auto
18,22,k:秋,kanji,秋,autumn,464,2,9,火 禾,auto
18,23,k:城,kanji,城,castle,401,4,9,成 土,auto
18,24,k:造,kanji,造,create,373,5,10,辶 告,auto
18,25,k:陸,kanji,陸,land,385,4,11,阝 土 儿,auto
18,26,k:仕,kanji,仕,attend,485,3,5,亻 士,auto
18,27,k:愛,kanji,愛,love,371,4,13,冖 爪 心 夂,auto
18,28,k:格,kanji,格,status,379,5,10,木 口 夂,auto
18,29,k:技,kanji,技,skill,405,5,7,扌 支,auto
19,0,k:源,kanji,源,source,307,6,13,氵 原,auto
19,1,k:退,kanji,退,retreat,370,6,9,辶 艮,auto
19,2,k:確,kanji,確,assurance,343,5,15,宀 石 隹,auto
19,3,k:然,kanji,然,sort of thing,388,4,12,夕 犬 灬,auto
19,4,k:刑,kanji,刑,punish,729,8,6,三 刂 廾,auto
19,5,k:型,kanji,型,mould,395,5,9,土 刑,auto
19,6,k:委,kanji,委,committee,443,3,8,女 禾,auto
19,7,k:育,kanji,育,bring up,445,3,8,月 厶,auto
19,8,k:系,kanji,系,lineage,453,6,7,糸 ノ,auto
19,9,k:係,kanji,係,person in charge,438,3,9,亻 系,auto
19,10,k:助,kanji,助,help,454,3,7,且 力,auto
19,11,k:検,kanji,検,examination,374,5,12,𠆢 人 木 口,auto
19,12,k:刊,kanji,刊,publish,433,5,5,干 刂,auto
19,13,k:君,kanji,君,mister,457,3,7,右 ヨ,auto
19,14,k:念,kanji,念,wish,429,4,8,今 心,auto
19,15,k:基,kanji,基,fundamentals,387,5,11,土 甘,auto
19,16,k:移,kanji,移,shift,390,5,11,夕 禾,auto
19,17,k:客,kanji,客,guest,447,3,9,宀 口 夂,auto
19,18,k:亜,kanji,亜,Asia,1130,8,7,一 中,auto
19,19,k:崎,kanji,崎,promontory,383,4,11,大 山 亜,auto
19,20,k:呼,kanji,呼,call,400,6,8,丷 史 亅,auto
19,21,k:星,kanji,星,star,472,2,9,日 生,auto
19,22,k:省,kanji,省,government ministry,434,4,9,県 ノ,auto
19,23,k:製,kanji,製,made in...,375,5,14,制 衣,auto
19,24,k:七,kanji,七,seven,602,1,2,乙 匕,auto
19,25,k:応,kanji,応,apply,432,5,7,广 心,auto
19,26,k:令,kanji,令,orders,595,4,5,今 卩,auto
19,27,k:族,kanji,族,tribe,475,3,11,方 矢,auto
19,28,k:領,kanji,領,jurisdiction,381,5,14,令 頁,auto
19,29,k:昨,kanji,昨,yesterday,944,4,9,曲 ノ,auto
20,0,k:種,kanji,種,species,402,4,14,里 昨 禾,auto
20,1,k:故,kanji,故,happenstance,423,5,9,古 攵,auto
20,2,k:則,kanji,則,rule,928,5,9,貝 刂,auto
20,3,k:側,kanji,側,side,428,4,11,亻 則,auto
20,4,k:橋,kanji,橋,bridge,409,3,16,木 向,auto
20,5,k:唱,kanji,唱,recite,1185,4,11,日 口,auto
20,6,k:昭,kanji,昭,shining,436,3,9,刀 唱,auto
20,7,k:隊,kanji,隊,regiment,393,4,12,阝 豕,auto
20,8,k:束,kanji,束,bundle,971,4,7,木 亜,auto
20,9,k:速,kanji,速,quick,460,3,10,辶 束,auto
20,10,k:舟,kanji,舟,boat,1430,8,6,,auto
20,11,k:票,kanji,票,ballot,403,4,11,西 示,auto
20,12,k:船,kanji,船,ship,473,2,11,口 舟,auto
20,13,k:存,kanji,存,suppose,435,6,6,子 万,override
20,14,k:赤,kanji,赤,red,558,1,7,,auto
20,15,k:断,kanji,断,severance,417,5,11,米 丘,auto
20,16,k:好,kanji,好,fond,510,4,6,子 女,auto
20,17,k:供,kanji,供,submit,426,6,8,亻 共,auto
20,18,k:良,kanji,良,good,474,4,7,艮,auto
20,19,r:几,radical,几,table,,,2,,radical
20,20,k:処,kanji,処,dispose,452,6,5,几 夂,auto
20,21,k:追,kanji,追,chase,482,3,9,辶 中,auto
20,22,k:列,kanji,列,file,507,3,6,歹 刂,auto
20,23,k:残,kanji,残,remainder,456,4,10,歹 戈,auto
20,24,k:洋,kanji,洋,ocean,514,3,9,氵 羊,auto
20,25,k:必,kanji,必,invariably,498,4,5,ノ 心,auto
20,26,k:消,kanji,消,extinguish,478,3,10,氵 ⺌ 月,auto
20,27,k:黄,kanji,黄,yellow,1024,2,11,,auto
20,28,k:横,kanji,横,sideways,440,3,15,日 果 黄 廾,auto
20,29,k:師,kanji,師,expert,442,5,10,亜 巾,auto
21,0,k:限,kanji,限,limit,450,5,9,阝 艮,auto
21,1,k:波,kanji,波,waves,500,3,8,氵 皮,auto
21,2,k:例,kanji,例,example,481,4,8,亻 列,auto
21,3,k:失,kanji,失,lose,505,4,5,人 大,auto
21,4,k:御,kanji,御,honorable,359,8,12,彳 止 卩,auto
21,5,k:忠,kanji,忠,loyalty,1040,6,8,中 心,auto
21,6,k:麻,kanji,麻,hemp,868,8,11,,auto
21,7,k:悪,kanji,悪,bad,508,3,11,一 忠,auto
21,8,k:歴,kanji,歴,curriculum,414,5,14,厂 止 麻,auto
21,9,k:左,kanji,左,left,624,1,5,一 工 ノ,auto
21,10,k:佐,kanji,佐,assistant,461,4,7,亻 左,auto
21,11,k:林,kanji,林,grove,574,1,8,木,auto
21,12,k:紙,kanji,紙,paper,540,2,10,氏 糸,override
21,13,k:観,kanji,観,outlook,407,4,18,見 矢 隹,auto
21,14,k:論,kanji,論,argument,391,6,15,今 言 冊,auto
21,15,k:降,kanji,降,descend,431,6,10,阝 十 夂,auto
21,16,k:児,kanji,児,newborn babe,496,4,7,曲 儿,auto
21,17,k:述,kanji,述,mention,468,5,8,辶 木 十,auto
21,18,k:春,kanji,春,springtime,553,2,9,日 人 天,auto
21,19,k:返,kanji,返,return,521,3,7,辶 反,auto
21,20,k:域,kanji,域,region,430,6,11,口 土 戈,auto
21,21,k:飛,kanji,飛,fly,489,4,9,,auto
21,22,k:備,kanji,備,equip,446,5,12,亻 厂 艹 用,auto
21,23,k:宗,kanji,宗,religion,753,6,8,宀 示,auto
21,24,k:察,kanji,察,guess,451,4,14,癶 宗,auto
21,25,k:更,kanji,更,grow late,418,8,7,田 旦,auto
21,26,k:須,kanji,須,ought,1147,8,12,頁 彡,auto
21,27,k:医,kanji,医,doctor,559,3,7,匚 矢,auto
21,28,k:顔,kanji,顔,expression,491,2,18,厂 立 須,auto
21,29,k:防,kanji,防,prevent,492,5,7,阝 方,override
22,0,k:黒,kanji,黒,black,550,2,11,,auto
22,1,k:捕,kanji,捕,catch,399,8,10,扌 用 十,override
22,2,k:央,kanji,央,center,551,3,5,冖 大,auto
22,3,k:永,kanji,永,eternity,734,5,5,水 丶,auto
22,4,k:友,kanji,友,friend,632,2,4,一 ノ 又,auto
22,5,k:求,kanji,求,request,518,4,7,一 永,auto
22,6,k:根,kanji,根,root,515,3,10,木 艮,auto
22,7,k:管,kanji,管,pipe,463,4,14,官 竹,auto
22,8,k:藤,kanji,藤,wisteria,311,8,18,艹 月 水 天,auto
22,9,k:負,kanji,負,defeat,523,3,9,貝 勹,auto
22,10,k:図,kanji,図,diagram,590,2,7,囗 斗,override
22,11,k:構,kanji,構,posture,448,5,14,本 十 冂,auto
22,12,k:催,kanji,催,sponsor,357,8,13,亻 山 隹,auto
22,13,k:商,kanji,商,make a deal,513,3,11,競 冂,auto
22,14,k:久,kanji,久,long time,538,5,3,,auto
22,15,k:与,kanji,与,bestow,469,8,3,上 勹,auto
22,16,k:想,kanji,想,concept,501,3,13,相 心,override
22,17,k:岩,kanji,岩,boulder,562,2,8,山 石,auto
22,18,k:森,kanji,森,forest,580,1,12,木,auto
22,19,r:禹,radical,禸,paw print,,,4,,radical
22,20,k:属,kanji,属,belong,441,5,12,尸 禸,auto
22,21,k:資,kanji,資,assets,466,5,13,次 貝,auto
22,22,k:接,kanji,接,touch,487,5,11,扌 立 女,auto
22,23,k:装,kanji,装,attire,459,6,12,士 衣 爿,auto
22,24,k:皿,kanji,皿,dish,1819,3,5,,auto
22,25,k:臣,kanji,臣,retainer,723,4,7,,auto
22,26,k:監,kanji,監,oversee,358,8,15,臣 皿,auto
22,27,k:提,kanji,提,propose,455,5,12,扌 是,auto
